# nodeid|distance|path
# initialization/preprocessing took: 0.03
# searching took: 0.0
0|1|2 
1|1|2 
2|0|
3|1|2 
4|1|2 
5|0|
6|1|5 
7|2|3 2 
8|1|23 
9|2|0 2 
10|2|3 2 
11|1|2 
12|1|44 
13|1|2 
14|1|2 
15|1|2 
16|3|9 0 2 
17|2|1 2 
18|2|12 44 
19|2|11 2 
20|1|5 
21|2|29 2 
22|2|13 2 
23|0|
24|1|5 
25|1|23 
26|2|4 2 
27|2|3 2 
28|1|5 
29|1|2 
30|1|5 
31|2|13 2 
32|2|12 44 
33|1|5 
34|3|7 3 2 
35|1|2 
36|2|12 44 
37|2|29 2 
38|2|1 2 
39|2|4 2 
40|2|12 44 
41|1|2 
42|2|0 2 
43|2|3 2 
44|0|
45|1|2 
46|1|5 
47|1|2 
48|2|29 2 
49|3|42 0 2 
50|2|24 5 
51|1|2 
# writing to outputs/result.txt took: 0.0
# total time taken: 0.04
