# nodeid|distance|hospitalid
# initialization/preprocessing took: 0.04
# searching took: 0.0
0|1|12
0|1|3
0|2|23
1|1|3
1|2|23
1|2|43
2|1|3
2|2|23
2|2|43
3|0|3
3|1|23
3|1|43
4|1|23
4|1|12
4|2|43
5|1|3
5|2|23
5|2|43
6|1|43
6|1|3
6|2|23
7|1|3
7|2|23
7|2|43
8|1|23
8|2|12
8|2|3
9|2|12
9|2|3
9|3|23
10|1|3
10|2|23
10|2|43
11|1|43
11|2|23
11|2|12
12|0|12
12|2|23
12|2|3
13|2|43
13|2|3
13|3|23
14|2|3
14|3|23
14|3|43
15|2|3
15|3|23
15|3|43
16|3|12
16|3|3
16|4|23
17|2|23
17|2|12
17|3|43
18|1|12
18|3|23
18|3|3
19|2|43
19|3|23
19|3|12
20|1|3
20|2|23
20|2|43
21|1|12
21|3|23
21|3|3
22|3|43
22|3|3
22|4|23
23|0|23
23|1|3
23|2|43
24|2|3
24|3|23
24|3|43
25|1|23
25|2|3
25|3|43
26|2|23
26|2|12
26|3|43
27|1|3
27|2|23
27|2|43
28|2|3
28|3|23
28|3|43
29|2|12
29|2|3
29|3|23
30|1|12
30|2|3
30|3|23
31|3|43
31|3|3
31|4|23
32|1|12
32|3|23
32|3|3
33|2|3
33|3|23
33|3|43
34|2|12
34|2|3
34|3|23
35|1|23
35|2|3
35|3|43
36|1|12
36|3|23
36|3|3
37|2|43
37|2|3
37|3|23
38|2|23
38|3|12
38|2|3
39|2|23
39|2|12
39|2|43
40|1|12
40|2|3
40|3|23
41|2|3
41|3|23
41|3|43
42|1|3
42|2|23
42|2|43
43|0|43
43|1|3
43|2|23
44|1|12
44|2|23
44|3|43
45|1|12
45|1|3
45|2|23
46|2|43
46|2|3
46|3|23
47|2|3
47|3|23
47|3|43
48|2|3
48|3|23
48|3|43
49|2|3
49|3|23
49|3|43
50|3|3
50|4|23
50|4|43
51|2|3
51|3|23
51|3|43
# writing to outputs/result.txt took: 0.0
# total time taken: 0.05
